,Nme of item,Price,Rating stars,Rating count,Link to the book
230,Genie Flamenco2 Casual Backpacks for Women,0,4.4 out of 5 stars,"1,632",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NzQ5MzE5OTQ5MzMwNjU1OjE2OTc2MTM0NTI6c3BfbXRmOjMwMDA2ODYwMjU1MTMzMjo6MDo6&url=%2FGenie-Flamenco2-Backpack-Compatible-Resistant%2Fdp%2FB08YF9VHTY%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613452%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
231,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",0,3.9 out of 5 stars,"17,605",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NzQ5MzE5OTQ5MzMwNjU1OjE2OTc2MTM0NTI6c3BfbXRmOjIwMTQ2NTQzMDk0NDk4OjowOjo&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613452%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
232,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,0,3.9 out of 5 stars,"1,397",https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1697613452&sprefix=ba%2Caps%2C283&sr=8-13
233,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,0,4.3 out of 5 stars,"6,876",https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1697613452&sprefix=ba%2Caps%2C283&sr=8-14
234,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,0,4.3 out of 5 stars,"1,343",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1697613452&sprefix=ba%2Caps%2C283&sr=8-15
235,"Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal",0,3.9 out of 5 stars,155,https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1697613452&sprefix=ba%2Caps%2C283&sr=8-16
236,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6"" laptop) 30 L, Charcoal black",0,4.3 out of 5 stars,"13,224",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1697613452&sprefix=ba%2Caps%2C283&sr=8-17
237,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",0,4.1 out of 5 stars,"10,271",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1697613452&sprefix=ba%2Caps%2C283&sr=8-18
238,"TRUE HUMAN EMPEROR®Multi-purpose backpack With USB charging Port Laptop,office,college,travel bag for men and women (WIZ)",0,3.9 out of 5 stars,7,https://www.amazon.in/TRUE-HUMAN-EMPEROR%C2%AEMulti-purpose-backpack-charging/dp/B0CCLKZ21R/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1697613452&sprefix=ba%2Caps%2C283&sr=8-19
239,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,0,3.9 out of 5 stars,"4,291",https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1697613452&sprefix=ba%2Caps%2C283&sr=8-20
240,"Arctic Hunter Backpack for Men Stylish 15.6-inch Laptop Bag Shockproof PU Coating Water-resistant Anti-theft 25L Padded Backpack for Office College and Daily Use,Black",0,4.9 out of 5 stars,17,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NzQ5MzE5OTQ5MzMwNjU1OjE2OTc2MTM0NTI6c3BfYnRmOjIwMDYzNzgyNDMyMDk4OjowOjo&url=%2FBackpack-Business-Water-resistant-Anti-theft-Charging%2Fdp%2FB0B6FLWDW9%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613452%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
241,Amazon Basics Laptop Bag for 15.6 Inch Laptops | College/Travel Backpack with USB Charging Port and Anti-Theft Pocket | 23 L,0,4.4 out of 5 stars,138,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NzQ5MzE5OTQ5MzMwNjU1OjE2OTc2MTM0NTI6c3BfYnRmOjMwMDA2Nzg4NzQxNjIzMjo6MDo6&url=%2FLaptops-College-Backpack-Charging-Anti-Theft%2Fdp%2FB0C6639P8P%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613452%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
242,URBAN TRIBE 29L Jumbo Laptop Backpack for Men and Women | Bag with 17.3 inch Gaming Laptop Compartment | Anti Theft Lock Zippers,0,4.1 out of 5 stars,227,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTg4MDM3ODEwOTU1NjU1OjE2OTc2MTM0NTY6c3BfYXRmOjMwMDA3MTk0ODIwOTQzMjo6MDo6&url=%2FUrban-Tribe-Laptop-Backpack-Jumbo%2Fdp%2FB01MSRADRY%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613456%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
243,"URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",0,3.9 out of 5 stars,821,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTg4MDM3ODEwOTU1NjU1OjE2OTc2MTM0NTY6c3BfYXRmOjMwMDA3MTkxNjIyNjczMjo6MDo6&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613456%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
244,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),0,4.3 out of 5 stars,"13,224",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-3
245,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,0,4.1 out of 5 stars,"1,952",https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-4
246,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),0,3.7 out of 5 stars,"2,767",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-5
247,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,0,3.9 out of 5 stars,"3,849",https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-6
248,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),0,4.0 out of 5 stars,"56,349",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-7
249,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",0,4.1 out of 5 stars,"6,663",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-8
250,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",0,4.4 out of 5 stars,"5,260",https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-9
251,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",0,3.9 out of 5 stars,"17,605",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-10
252,Genie Flamenco2 Casual Backpacks for Women,0,4.4 out of 5 stars,"1,632",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTg4MDM3ODEwOTU1NjU1OjE2OTc2MTM0NTY6c3BfbXRmOjMwMDA2ODYwMjU1MTMzMjo6MDo6&url=%2FGenie-Flamenco2-Backpack-Compatible-Resistant%2Fdp%2FB08YF9VHTY%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613456%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
253,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",0,3.9 out of 5 stars,"17,605",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTg4MDM3ODEwOTU1NjU1OjE2OTc2MTM0NTY6c3BfbXRmOjIwMTQ2NTQzMDk0NDk4OjowOjo&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613456%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
254,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,0,3.9 out of 5 stars,"1,397",https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-13
255,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,0,4.3 out of 5 stars,"6,876",https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-14
256,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,0,4.3 out of 5 stars,"1,343",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-15
257,"Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal",0,3.9 out of 5 stars,155,https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-16
258,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6"" laptop) 30 L, Charcoal black",0,4.3 out of 5 stars,"13,224",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-17
259,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",0,4.1 out of 5 stars,"10,271",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-18
260,"TRUE HUMAN EMPEROR®Multi-purpose backpack With USB charging Port Laptop,office,college,travel bag for men and women (WIZ)",0,3.9 out of 5 stars,7,https://www.amazon.in/TRUE-HUMAN-EMPEROR%C2%AEMulti-purpose-backpack-charging/dp/B0CCLKZ21R/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-19
261,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,0,3.9 out of 5 stars,"4,291",https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1697613456&sprefix=ba%2Caps%2C283&sr=8-20
262,"Arctic Hunter Backpack for Men Stylish 15.6-inch Laptop Bag Shockproof PU Coating Water-resistant Anti-theft 25L Padded Backpack for Office College and Daily Use,Black",0,4.9 out of 5 stars,17,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTg4MDM3ODEwOTU1NjU1OjE2OTc2MTM0NTY6c3BfYnRmOjIwMDYzNzgyNDMyMDk4OjowOjo&url=%2FBackpack-Business-Water-resistant-Anti-theft-Charging%2Fdp%2FB0B6FLWDW9%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613456%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
263,Amazon Basics Laptop Bag for 15.6 Inch Laptops | College/Travel Backpack with USB Charging Port and Anti-Theft Pocket | 23 L,0,4.4 out of 5 stars,138,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTg4MDM3ODEwOTU1NjU1OjE2OTc2MTM0NTY6c3BfYnRmOjMwMDA2Nzg4NzQxNjIzMjo6MDo6&url=%2FLaptops-College-Backpack-Charging-Anti-Theft%2Fdp%2FB0C6639P8P%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613456%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
264,URBAN TRIBE 29L Jumbo Laptop Backpack for Men and Women | Bag with 17.3 inch Gaming Laptop Compartment | Anti Theft Lock Zippers,0,4.1 out of 5 stars,227,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTk0ODE4NjY4NjA3NjU1OjE2OTc2MTM0NTk6c3BfYXRmOjMwMDA3MTk0ODIwOTQzMjo6MDo6&url=%2FUrban-Tribe-Laptop-Backpack-Jumbo%2Fdp%2FB01MSRADRY%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613459%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
265,"URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",0,3.9 out of 5 stars,821,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTk0ODE4NjY4NjA3NjU1OjE2OTc2MTM0NTk6c3BfYXRmOjMwMDA3MTkxNjIyNjczMjo6MDo6&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613459%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
266,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),0,4.3 out of 5 stars,"13,224",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-3
267,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,0,4.1 out of 5 stars,"1,952",https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-4
268,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),0,3.7 out of 5 stars,"2,767",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-5
269,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,0,3.9 out of 5 stars,"3,849",https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-6
270,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),0,4.0 out of 5 stars,"56,349",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-7
271,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",0,4.1 out of 5 stars,"6,663",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-8
272,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",0,4.4 out of 5 stars,"5,260",https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-9
273,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",0,3.9 out of 5 stars,"17,605",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-10
274,Genie Flamenco2 Casual Backpacks for Women,0,4.4 out of 5 stars,"1,632",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTk0ODE4NjY4NjA3NjU1OjE2OTc2MTM0NTk6c3BfbXRmOjMwMDA2ODYwMjU1MTMzMjo6MDo6&url=%2FGenie-Flamenco2-Backpack-Compatible-Resistant%2Fdp%2FB08YF9VHTY%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613459%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
275,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",0,3.9 out of 5 stars,"17,605",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTk0ODE4NjY4NjA3NjU1OjE2OTc2MTM0NTk6c3BfbXRmOjIwMTQ2NTQzMDk0NDk4OjowOjo&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613459%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
276,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,0,3.9 out of 5 stars,"1,397",https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-13
277,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,0,4.3 out of 5 stars,"6,876",https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-14
278,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,0,4.3 out of 5 stars,"1,343",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-15
279,"Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal",0,3.9 out of 5 stars,155,https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-16
280,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6"" laptop) 30 L, Charcoal black",0,4.3 out of 5 stars,"13,224",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-17
281,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",0,4.1 out of 5 stars,"10,271",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-18
282,"TRUE HUMAN EMPEROR®Multi-purpose backpack With USB charging Port Laptop,office,college,travel bag for men and women (WIZ)",0,3.9 out of 5 stars,7,https://www.amazon.in/TRUE-HUMAN-EMPEROR%C2%AEMulti-purpose-backpack-charging/dp/B0CCLKZ21R/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-19
283,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,0,3.9 out of 5 stars,"4,291",https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1697613459&sprefix=ba%2Caps%2C283&sr=8-20
284,"Arctic Hunter Backpack for Men Stylish 15.6-inch Laptop Bag Shockproof PU Coating Water-resistant Anti-theft 25L Padded Backpack for Office College and Daily Use,Black",0,4.9 out of 5 stars,17,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTk0ODE4NjY4NjA3NjU1OjE2OTc2MTM0NTk6c3BfYnRmOjIwMDYzNzgyNDMyMDk4OjowOjo&url=%2FBackpack-Business-Water-resistant-Anti-theft-Charging%2Fdp%2FB0B6FLWDW9%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613459%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
285,Amazon Basics Laptop Bag for 15.6 Inch Laptops | College/Travel Backpack with USB Charging Port and Anti-Theft Pocket | 23 L,0,4.4 out of 5 stars,138,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTk0ODE4NjY4NjA3NjU1OjE2OTc2MTM0NTk6c3BfYnRmOjMwMDA2Nzg4NzQxNjIzMjo6MDo6&url=%2FLaptops-College-Backpack-Charging-Anti-Theft%2Fdp%2FB0C6639P8P%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613459%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
286,URBAN TRIBE 29L Jumbo Laptop Backpack for Men and Women | Bag with 17.3 inch Gaming Laptop Compartment | Anti Theft Lock Zippers,0,4.1 out of 5 stars,227,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTQzMDE4Njg1NTA0NjU1OjE2OTc2MTM0NjM6c3BfYXRmOjMwMDA3MTk0ODIwOTQzMjo6MDo6&url=%2FUrban-Tribe-Laptop-Backpack-Jumbo%2Fdp%2FB01MSRADRY%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697613463%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
